,movie_info,movie_name,critics_score,audience_score,Description,Genre,Original Language,Director,Release Date (Streaming),Runtime,Rating,Producer,Writer,Release Date (Theaters),Box Office (Gross USA),Distributor,Sound Mix,Aspect Ratio,View the collection
10,"2022, Comedy/Horror, 1h 45m",Sorry About the Demon,86%,73%,A young man struggling with a broken heart learns that his new place is full of restless spirits.,"Comedy, Horror",English,Emily Hagins,"Jan 19, 2023",1h 45m,,"Cameron Burns, Emily Gotto, Ben Hanks, Aaron B. Koontz, Pasha Patriki",Emily Hagins,,,,,,
11,"2022, Sci-fi/Horror, 2h 15m",Nope,83%,69%,"A man and his sister discover something sinister in the skies above their California horse ranch, while the owner of a nearby theme park tries to profit from the mysterious, otherworldly phenomenon.","Sci-Fi, Horror, Mystery & Thriller",English,Jordan Peele,"Nov 18, 2022",2h 15m,R (Some Violence/Bloody Images|Language Throughout),"Jordan Peele, Ian Cooper",Jordan Peele,"Jul 22, 2022  Wide",$123.2M,Universal Pictures,"Dolby Digital, Dolby Atmos",,
12,"2021, Horror/Mystery & thriller, 1h 58m",The Innocents,96%,73%,"During the bright Nordic summer, a group of children reveal mysterious powers. But what starts out innocent soon takes a dark and violent turn in this gripping supernatural thriller.","Horror, Mystery & Thriller",Norwegian,Eskil Vogt,"May 13, 2022",1h 58m,,"Maria Ekerhovd, Misha Jaari, Mark Lwoff",Eskil Vogt,"May 13, 2022  Limited",$21.1K,IFC Midnight,,Scope (2.35:1),
13,"2021, Horror, 1h 26m",Hellbender,97%,56%,"A teen and her mother live simply in a home in the woods, spending their time making metal music. A chance encounter with a fellow teen causes her to uncover a connection between her family and witchcraft, which causes a rift with her mother.",Horror,English,"John Adams, Zelda Adams, Toby Poser","Feb 24, 2022",1h 26m,,Toby Poser,"Zelda Adams, Toby Poser, John Adams",,,,,,
14,"2022, Horror/Mystery & thriller, 1h 56m",Smile,80%,77%,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter (Sosie Bacon) starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.","Horror, Mystery & Thriller",English,Parker Finn,"Nov 15, 2022",1h 56m,R,"Marty Bowen, Wyck Godfrey, Isaac Klausner, Robert Salerno",Parker Finn,"Sep 30, 2022  Wide",$105.9M,Paramount Pictures,,,
15,"2018, Horror/Mystery & thriller, 2h 7m",Hereditary,90%,69%,"When the matriarch of the Graham family passes away, her daughter and grandchildren begin to unravel cryptic and increasingly terrifying secrets about their ancestry, trying to outrun the sinister fate they have inherited.","Horror, Mystery & Thriller",English,Ari Aster,"Sep 4, 2018",2h 7m,R (Disturbing Images|Brief Graphic Nudity|Drug Use|Horror Violence|Language),"Kevin Scott Frakes, Lars Knudsen, Buddy Patrick",Ari Aster,"Jun 8, 2018  Wide",$44.1M,A24,Dolby Digital,,
16,"2022, Horror/Mystery & thriller, 1h 42m",Pearl,91%,82%,"Filmmaker Ti West returns with another chapter from the twisted world of X, in this astonishing follow-up to the year's most acclaimed horror film. Trapped on her family's isolated farm, Pearl must tend to her ailing father under the bitter and overbearing watch of her devout mother. Lusting for a glamorous life like she's seen in the movies, Pearl finds her ambitions, temptations, and repressions all colliding in this stunning, technicolor-inspired origin story of X's iconic villain.","Horror, Mystery & Thriller, Comedy",English,Ti West,"Oct 25, 2022",1h 42m,R,"Jacob Jaffke, Harrison Kreiss, Kevin Turen, Ti West","Ti West, Mia Goth","Sep 16, 2022  Wide",$8.2M,A24,Dolby Atmos,Scope (2.35:1),
17,"2023, Holiday/Horror, 1h 37m",Snow Falls,--,8%,"A New Year's Eve party quickly turns serious when a brutal winter storm strands five friends at a remote cabin. Convinced that the snowflakes have infected them with a deadly virus, they struggle to stay awake to avoid freezing to death.","Holiday, Horror, Mystery & Thriller",English,Colton Tran,"Jan 17, 2023",1h 37m,R (Brief Bloody Violence),Laura M. Young,Luke Genton,,,,,,
18,"2020, Horror/Mystery & thriller, 1h 33m",His House,100%,74%,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.","Horror, Mystery & Thriller",English (United Kingdom),Remi Weekes,"Oct 30, 2020",1h 33m,,"Martin Gentles, Ed King",Remi Weekes,,,,,Scope (2.35:1),
19,"2022, Horror/Comedy, 1h 42m",Sissy,96%,62%,"Cecilia and Emma were tween-age BFFs who were going to grow old together and never let anything come between them, until Alex arrived on the scene. Twelve years later, Cecilia is a successful social media influencer living the dream of an independent, modern millennial woman... until she runs into Emma for the first time in over a decade. Emma invites Cecilia away on her bachelorette weekend at a remote cabin in the mountains, where Alex proceeds to make Cecilia's weekend a living hell. #triggered","Horror, Comedy",English (Australia),"Hannah Barlow, Kane Senes","Sep 29, 2022",1h 42m,,"Lisa Shaunessy, John De Margheriti, Jason Taylor, Bec Janek","Hannah Barlow, Kane Senes, Hannah Barlow, Kane Senes",,,,Dolby Digital,Scope (2.35:1),
20,"2022, Holiday/Horror, 1h 15m",Kids vs. Aliens,57%,75%,"All Gary wants is to make awesome home movies with his best buds. All his older sister Samantha wants is to hang with the cool kids. When their parents head out of town one Halloween weekend, an all-time rager of a teen house party turns to terror when aliens attack, forcing the siblings to band together to survive the night.","Holiday, Horror, Sci-Fi",English,Jason Eisener,"Jan 20, 2023",1h 15m,,"Rob Cotterill, Josh Goldbloom, Brad Miska, Marc Tetreault, Jason Levangie","Jason Eisener, John Davies","Jan 20, 2023  Limited",,RLJE Films,,,
21,"2022, Horror/Drama, 1h 40m",Men,69%,39%,"In the aftermath of a personal tragedy, Harper (Jessie Buckley) retreats alone to the beautiful English countryside, hoping to have found a place to heal. But someone or something from the surrounding woods appears to be stalking her. What begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears in visionary filmmaker Alex Garland's (Ex Machina, Annihilation) feverish, shape-shifting new horror film.","Horror, Drama, Sci-Fi",English,Alex Garland,"Aug 9, 2022",1h 40m,R (Graphic Nudity|Disturbing and Violent Content|Grisly Images|Language),"Andrew Macdonald, Allon Reich, Scott Rudin, Eli Bush",Alex Garland,"May 20, 2022  Wide",$7.4M,A24,Dolby Digital,Flat (1.85:1),
22,"2022, Horror/Mystery & thriller, 1h 33m",Prey for the Devil,17%,69%,"Sister Ann (Jacqueline Byers) believes she is answering a calling to be the first female exorcist... but who, or what, called her? In response to a global rise in demonic possessions, Ann seeks out a place at an exorcism school reopened by the Catholic Church. Until now these schools have only trained priests in the Rite of Exorcism -- but a professor (Colin Salmon) recognizes Sister Ann's gifts and agrees to train her. Thrust onto the spiritual frontline with fellow student Father Dante (Christian Navarro), Sister Ann finds herself in a battle for the soul of a young girl, who Sister Ann believes is possessed by the same demon that tormented her own mother years ago. Determined to root out the evil, Ann soon realizes the Devil has her right where he wants her.","Horror, Mystery & Thriller",English,Daniel Stamm,"Dec 13, 2022",1h 33m,PG-13 (Thematic Elements|Terror|Brief Language|Violent and Disturbing Content),"Paul Brooks, Todd R. Jones, Earl Richey Jones, Jessica Malanaphy","Robert Zappia, Earl Richey Jones, Todd R. Jones","Oct 28, 2022  Wide",$19.8M,Lionsgate,Dolby Digital,Scope (2.35:1),
23,"2022, Horror/Drama, 1h 49m",You Won't Be Alone,93%,69%,"Set in an isolated mountain village in 19th century Macedonia, YOU WON'T BE ALONE follows a young girl who is kidnapped and then transformed into a witch by an ancient spirit. Curious about life as a human, the young witch accidentally kills a peasant in the nearby village and then takes her victim's shape to live life in her skin. Her curiosity ignited, she continues to wield this horrific power in order to understand what it means to be human.","Horror, Drama",Macedonian,Goran Stolevski,"May 16, 2022",1h 49m,R (Sexual Content|Sexual Assault|Graphic Nudity|Violence and Gore),"Kristina Ceyton, Samantha Jennings",Goran Stolevski,"Apr 1, 2022  Limited",$234.9K,Focus Features,,,
24,"2022, Horror/Mystery & thriller, 1h 38m",Nanny,90%,46%,"In this psychological horror fable of displacement, Aisha (Anna Diop), a woman who recently emigrated from Senegal, is hired to care for the daughter of an affluent couple (Michelle Monaghan and Morgan Spector) living in New York City. Haunted by the absence of the young son she left behind, Aisha hopes her new job will afford her the chance to bring him to the U.S., but becomes increasingly unsettled by the family's volatile home life. As his arrival approaches, a violent presence begins to invade both her dreams and her reality, threatening the American dream she is painstakingly piecing together.","Horror, Mystery & Thriller",English,Nikyatu Jusu,"Dec 16, 2022",1h 38m,R (Brief Sexuality/Nudity|Some Language),"Nikkia Moulterie, Daniela Taplin Lundberg",Nikyatu Jusu,"Nov 23, 2022  Limited",,Amazon Studios,Dolby Digital,,
25,"2014, Horror/Mystery & thriller, 1h 41m",It Follows,95%,66%,"After carefree teenager Jay (Maika Monroe) sleeps with her new boyfriend, Hugh (Jake Weary), for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her flee or defend herself.","Horror, Mystery & Thriller",English,David Robert Mitchell,"Jul 14, 2015",1h 41m,R (Graphic Nudity|Disturbing Violent Content|Language|Sexual Content),"Rebecca Green, Laura D. Smith, David Robert Mitchell, David Kaplan, Erik Rommesmo",David Robert Mitchell,"Mar 27, 2015  Wide",$14.7M,Radius TWC,,,
26,"2022, Horror/Mystery & thriller, 1h 38m",Speak No Evil,85%,58%,"On a vacation in Tuscany, two families -- one Danish, one Dutch -- meet and become fast friends. Months later, the free-spirited Dutch family extends an invitation to the more conservative Danish one for a holiday weekend getaway at their countryside home. However, it doesn't take long before things gradually get out of hand as the joy of reunion is replaced with misunderstandings. The Dutch hospitality quickly turns unnerving for the Danes, and they find themselves increasingly caught in a web of their own politeness in the face of eccentric... or is it sinister... behavior.","Horror, Mystery & Thriller, Drama",English,Christian Tafdrup,"Sep 15, 2022",1h 38m,,Jacob Jarek,"Christian Tafdrup, Mads Tafdrup","Sep 9, 2022  Limited",,IFC Midnight,Dolby Digital,Scope (2.35:1),
27,"2022, Action/Adventure, 2h 6m",Doctor Strange in the Multiverse of Madness,74%,85%,"In Marvel Studios' ""Doctor Strange in the Multiverse of Madness,"" the MCU unlocks the Multiverse and pushes its boundaries further than ever before. Journey into the unknown with Doctor Strange, who, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.","Action, Adventure, Fantasy, Horror",English,Sam Raimi,"Jun 22, 2022",2h 6m,PG-13 (Frightening Images|Action|Intense Sequences of Violence|Some Language),Kevin Feige,Michael Waldron,"May 6, 2022  Wide",$411.3M,Walt Disney Pictures,"Dolby Atmos, Dolby Digital, DTS",Scope (2.35:1),Marvel Cinematic Universe
